Time  Position(x, y, z) Dist. Goodput
0.126924 Rate change from 0 to 6500000
0.172161 Rate change from 6500000 to 263250000
0.275229 Rate change from 263250000 to 351000000
0.528696 Rate change from 351000000 to 390000000
1.5  (10, 0, 1)  10.198  4.00212e+08 bits/s
1.50282 Rate change from 390000000 to 351000000
1.50475 Rate change from 351000000 to 390000000
1.5064 Rate change from 390000000 to 351000000
1.5082 Rate change from 351000000 to 390000000
1.50978 Rate change from 390000000 to 351000000
1.51156 Rate change from 351000000 to 390000000
1.51289 Rate change from 390000000 to 351000000
1.5145 Rate change from 351000000 to 390000000
1.5158 Rate change from 390000000 to 351000000
1.51733 Rate change from 351000000 to 390000000
1.51833 Rate change from 390000000 to 351000000
1.51957 Rate change from 351000000 to 390000000
1.52058 Rate change from 390000000 to 351000000
1.5217 Rate change from 351000000 to 390000000
1.52246 Rate change from 390000000 to 351000000
1.52342 Rate change from 351000000 to 390000000
1.52438 Rate change from 390000000 to 351000000
1.52544 Rate change from 351000000 to 390000000
1.52602 Rate change from 390000000 to 351000000
1.52713 Rate change from 351000000 to 390000000
1.52891 Rate change from 390000000 to 351000000
1.52916 Rate change from 351000000 to 390000000
1.53095 Rate change from 390000000 to 351000000
1.53185 Rate change from 351000000 to 390000000
1.53241 Rate change from 390000000 to 351000000
1.53332 Rate change from 351000000 to 390000000
1.53389 Rate change from 390000000 to 351000000
1.53479 Rate change from 351000000 to 390000000
1.53528 Rate change from 390000000 to 351000000
1.53599 Rate change from 351000000 to 390000000
1.53644 Rate change from 390000000 to 351000000
1.53727 Rate change from 351000000 to 390000000
1.53863 Rate change from 390000000 to 351000000
1.53883 Rate change from 351000000 to 390000000
1.54002 Rate change from 390000000 to 351000000
1.54058 Rate change from 351000000 to 390000000
1.54113 Rate change from 390000000 to 351000000
1.54171 Rate change from 351000000 to 390000000
1.54242 Rate change from 390000000 to 351000000
1.54336 Rate change from 351000000 to 390000000
1.54394 Rate change from 390000000 to 292500000
1.54488 Rate change from 292500000 to 390000000
1.54648 Rate change from 390000000 to 292500000
1.54863 Rate change from 292500000 to 390000000
1.55018 Rate change from 390000000 to 292500000
1.55242 Rate change from 292500000 to 390000000
1.55409 Rate change from 390000000 to 292500000
1.55634 Rate change from 292500000 to 390000000
1.55787 Rate change from 390000000 to 292500000
1.56008 Rate change from 292500000 to 390000000
1.5618 Rate change from 390000000 to 292500000
1.56391 Rate change from 292500000 to 390000000
1.56537 Rate change from 390000000 to 292500000
1.56764 Rate change from 292500000 to 390000000
1.56931 Rate change from 390000000 to 292500000
1.57148 Rate change from 292500000 to 390000000
1.57306 Rate change from 390000000 to 292500000
1.57525 Rate change from 292500000 to 390000000
1.57685 Rate change from 390000000 to 292500000
1.57933 Rate change from 292500000 to 390000000
1.58097 Rate change from 390000000 to 292500000
1.583 Rate change from 292500000 to 390000000
1.58468 Rate change from 390000000 to 292500000
1.58673 Rate change from 292500000 to 390000000
1.5883 Rate change from 390000000 to 292500000
1.59056 Rate change from 292500000 to 390000000
1.59203 Rate change from 390000000 to 292500000
2.5  (15, 0, 1)  15.1327  2.27189e+08 bits/s
2.51568 Rate change from 292500000 to 263250000
2.51628 Rate change from 263250000 to 292500000
2.51696 Rate change from 292500000 to 263250000
2.51725 Rate change from 263250000 to 292500000
2.5318 Rate change from 292500000 to 351000000
2.53244 Rate change from 351000000 to 292500000
2.53942 Rate change from 292500000 to 351000000
2.53996 Rate change from 351000000 to 292500000
2.55763 Rate change from 292500000 to 351000000
2.55839 Rate change from 351000000 to 292500000
2.56169 Rate change from 292500000 to 351000000
2.56221 Rate change from 351000000 to 292500000
2.56804 Rate change from 292500000 to 234000000
3.5  (20, 0, 1)  20.0998  1.83067e+08 bits/s
3.51501 Rate change from 234000000 to 263250000
3.51738 Rate change from 263250000 to 234000000
3.52188 Rate change from 234000000 to 263250000
3.52436 Rate change from 263250000 to 234000000
3.54343 Rate change from 234000000 to 263250000
3.5441 Rate change from 263250000 to 234000000
3.54499 Rate change from 234000000 to 292500000
3.54583 Rate change from 292500000 to 234000000
3.54648 Rate change from 234000000 to 292500000
3.54712 Rate change from 292500000 to 234000000
3.54902 Rate change from 234000000 to 292500000
3.54967 Rate change from 292500000 to 234000000
3.55064 Rate change from 234000000 to 292500000
3.55114 Rate change from 292500000 to 234000000
3.55195 Rate change from 234000000 to 292500000
3.55252 Rate change from 292500000 to 234000000
3.55411 Rate change from 234000000 to 292500000
3.5549 Rate change from 292500000 to 234000000
3.55562 Rate change from 234000000 to 292500000
3.55616 Rate change from 292500000 to 234000000
3.55746 Rate change from 234000000 to 292500000
3.55806 Rate change from 292500000 to 234000000
3.55901 Rate change from 234000000 to 292500000
3.55937 Rate change from 292500000 to 234000000
3.56015 Rate change from 234000000 to 292500000
3.56116 Rate change from 292500000 to 234000000
3.5626 Rate change from 234000000 to 292500000
3.56364 Rate change from 292500000 to 234000000
3.56627 Rate change from 234000000 to 292500000
3.56747 Rate change from 292500000 to 234000000
3.56905 Rate change from 234000000 to 292500000
3.57028 Rate change from 292500000 to 234000000
3.57191 Rate change from 234000000 to 292500000
3.57341 Rate change from 292500000 to 234000000
3.57518 Rate change from 234000000 to 292500000
3.57647 Rate change from 292500000 to 234000000
3.57808 Rate change from 234000000 to 292500000
3.57934 Rate change from 292500000 to 234000000
3.58081 Rate change from 234000000 to 292500000
3.58195 Rate change from 292500000 to 234000000
3.58329 Rate change from 234000000 to 292500000
3.58422 Rate change from 292500000 to 234000000
3.5854 Rate change from 234000000 to 292500000
3.5863 Rate change from 292500000 to 234000000
3.58847 Rate change from 234000000 to 292500000
3.58927 Rate change from 292500000 to 234000000
3.59044 Rate change from 234000000 to 292500000
3.59126 Rate change from 292500000 to 234000000
3.59237 Rate change from 234000000 to 292500000
3.59322 Rate change from 292500000 to 234000000
3.59426 Rate change from 234000000 to 292500000
3.59491 Rate change from 292500000 to 234000000
3.59586 Rate change from 234000000 to 180000000
3.59686 Rate change from 180000000 to 162000000
3.59797 Rate change from 162000000 to 180000000
3.60002 Rate change from 180000000 to 162000000
3.60016 Rate change from 162000000 to 180000000
3.60218 Rate change from 180000000 to 162000000
3.60325 Rate change from 162000000 to 180000000
3.60525 Rate change from 180000000 to 162000000
3.60541 Rate change from 162000000 to 180000000
3.60739 Rate change from 180000000 to 162000000
3.60857 Rate change from 162000000 to 180000000
3.61075 Rate change from 180000000 to 162000000
3.61094 Rate change from 162000000 to 180000000
3.6127 Rate change from 180000000 to 162000000
3.61395 Rate change from 162000000 to 180000000
3.6161 Rate change from 180000000 to 162000000
3.61626 Rate change from 162000000 to 180000000
3.61822 Rate change from 180000000 to 162000000
3.61945 Rate change from 162000000 to 180000000
3.62161 Rate change from 180000000 to 162000000
3.62184 Rate change from 162000000 to 180000000
3.62385 Rate change from 180000000 to 162000000
3.62483 Rate change from 162000000 to 180000000
3.62736 Rate change from 180000000 to 162000000
3.6275 Rate change from 162000000 to 180000000
3.62934 Rate change from 180000000 to 162000000
3.63044 Rate change from 162000000 to 180000000
3.6326 Rate change from 180000000 to 162000000
3.63279 Rate change from 162000000 to 180000000
3.63506 Rate change from 180000000 to 162000000
3.63625 Rate change from 162000000 to 180000000
3.63838 Rate change from 180000000 to 162000000
3.63863 Rate change from 162000000 to 180000000
